date,holiday,locale,transferred,sales,onpromotion,transactions
2013-04-01,Holiday,Regional,False,428816.447912,0.0,2695374.0
2013-04-02,Not Holiday,Not Holiday,False,377732.827961,0.0,2546445.0
2013-04-03,Not Holiday,Not Holiday,False,373731.0758793,0.0,2591622.0
2013-04-04,Not Holiday,Not Holiday,False,308738.385963,0.0,2383161.0
2013-04-05,Not Holiday,Not Holiday,False,336394.782031,0.0,2472624.0
2013-04-06,Not Holiday,Not Holiday,False,509424.214023,0.0,3129852.0
2013-04-07,Not Holiday,Not Holiday,False,519048.376884,0.0,2943039.0
2013-04-08,Not Holiday,Not Holiday,False,346649.815943,0.0,2480313.0
2013-04-09,Not Holiday,Not Holiday,False,306335.8019617,0.0,2356728.0
2013-04-10,Not Holiday,Not Holiday,False,312846.374941,0.0,2441637.0
2013-04-11,Not Holiday,Not Holiday,False,303223.41301,0.0,2372931.0
2013-04-12,Holiday,Local,False,314394.967035,0.0,2488299.0
2013-04-13,Not Holiday,Not Holiday,False,453442.497048,0.0,3041478.0
2013-04-14,Holiday,Local,False,478417.148813,0.0,2864499.0
2013-04-15,Not Holiday,Not Holiday,False,338712.458055,0.0,2516283.0
2013-04-16,Not Holiday,Not Holiday,False,333431.880049,0.0,2448171.0
2013-04-17,Not Holiday,Not Holiday,False,334990.518942,0.0,2459457.0
2013-04-18,Not Holiday,Not Holiday,False,281924.509951,0.0,2255319.0
2013-04-19,Not Holiday,Not Holiday,False,311588.70494,0.0,2412927.0
2013-04-20,Not Holiday,Not Holiday,False,459884.838043,0.0,3036462.0
2013-04-21,Holiday,Local,False,485721.032087,0.0,2884233.0
2013-04-22,Not Holiday,Not Holiday,False,328886.320986,0.0,2480181.0
2013-04-23,Not Holiday,Not Holiday,False,302097.8329435,0.0,2364681.0
2013-04-24,Not Holiday,Not Holiday,False,310555.184925,0.0,2409099.0
2013-04-25,Not Holiday,Not Holiday,False,268790.618996,0.0,2274261.0
2013-04-26,Not Holiday,Not Holiday,False,304413.556952,0.0,2402829.0
2013-04-27,Not Holiday,Not Holiday,False,446665.337895,0.0,2964225.0
2013-04-28,Not Holiday,Not Holiday,False,477623.4729303,0.0,2863509.0
2013-04-29,Holiday,National,False,328795.874018,0.0,2376297.0
2013-04-30,Not Holiday,Not Holiday,False,310186.466894,0.0,2425929.0
2013-05-01,Holiday,National,False,507974.636889,0.0,2988084.0
2013-05-02,Not Holiday,Not Holiday,False,348709.460063,0.0,2430087.0
2013-05-03,Not Holiday,Not Holiday,False,374291.2510323,0.0,2530605.0
2013-05-04,Not Holiday,Not Holiday,False,520339.51596499997,0.0,3190737.0
2013-05-05,Not Holiday,Not Holiday,False,580268.550981,0.0,3141996.0
2013-05-06,Not Holiday,Not Holiday,False,369869.383046,0.0,2520639.0
2013-05-07,Not Holiday,Not Holiday,False,317292.964148,0.0,2394579.0
2013-05-08,Not Holiday,Not Holiday,False,332477.410968,0.0,2468466.0
2013-05-09,Not Holiday,Not Holiday,False,305868.0570225,0.0,2475825.0
2013-05-10,Not Holiday,Not Holiday,False,335937.441949,0.0,2649306.0
2013-05-11,Additional,National,False,512090.58108,0.0,3678972.0
2013-05-12,Event,National,False,387860.5050145,0.0,2963070.0
2013-05-12,Holiday,Local,False,387860.5050145,0.0,2963070.0
2013-05-13,Not Holiday,Not Holiday,False,350598.06187,0.0,2495625.0
2013-05-14,Not Holiday,Not Holiday,False,308469.313119,0.0,2362437.0
2013-05-15,Not Holiday,Not Holiday,False,329113.560081,0.0,2455233.0
2013-05-16,Not Holiday,Not Holiday,False,307556.946937,0.0,2352471.0
2013-05-17,Not Holiday,Not Holiday,False,330004.241998,0.0,2465265.0
2013-05-18,Not Holiday,Not Holiday,False,480969.558942,0.0,3035109.0
2013-05-19,Not Holiday,Not Holiday,False,518153.554009,0.0,2938023.0
2013-05-20,Not Holiday,Not Holiday,False,341787.214991,0.0,2462229.0
2013-05-21,Not Holiday,Not Holiday,False,307178.399952,0.0,2329833.0
2013-05-22,Not Holiday,Not Holiday,False,301785.4831075,0.0,2368179.0
2013-05-23,Not Holiday,Not Holiday,False,289261.058026,0.0,2337819.0
2013-05-24,Holiday,National,False,398389.241982,0.0,2605185.0
2013-05-25,Not Holiday,Not Holiday,False,417930.141993,0.0,2812590.0
2013-05-26,Not Holiday,Not Holiday,False,450631.400068,0.0,2701677.0
2013-05-27,Not Holiday,Not Holiday,False,321630.8309235,0.0,2380752.0
2013-05-28,Not Holiday,Not Holiday,False,307329.1680565,0.0,2369433.0
2013-05-29,Not Holiday,Not Holiday,False,309333.380899,0.0,2441010.0
2013-05-30,Not Holiday,Not Holiday,False,304344.849939,0.0,2542716.0
2013-05-31,Not Holiday,Not Holiday,False,330257.841975,0.0,2538393.0
2013-06-01,Not Holiday,Not Holiday,False,566901.814988,0.0,3357420.0
2013-06-02,Not Holiday,Not Holiday,False,637698.494958,0.0,3234594.0
2013-06-03,Not Holiday,Not Holiday,False,426332.097995,0.0,2661384.0
2013-06-04,Not Holiday,Not Holiday,False,369705.160085,0.0,2515029.0
2013-06-05,Not Holiday,Not Holiday,False,361791.080915,0.0,2560965.0
2013-06-06,Not Holiday,Not Holiday,False,317496.765891,0.0,2385306.0
2013-06-07,Not Holiday,Not Holiday,False,357673.087977,0.0,2607462.0
2013-06-08,Not Holiday,Not Holiday,False,466292.699096,0.0,2962839.0
2013-06-09,Not Holiday,Not Holiday,False,526804.730256,0.0,2961783.0
2013-06-10,Not Holiday,Not Holiday,False,349754.291978,0.0,2460018.0
2013-06-11,Not Holiday,Not Holiday,False,283858.2159925,0.0,2264988.0
2013-06-12,Not Holiday,Not Holiday,False,320173.5779987,0.0,2421738.0
2013-06-13,Not Holiday,Not Holiday,False,282886.9200452,0.0,2300199.0
2013-06-14,Not Holiday,Not Holiday,False,326956.74210719997,0.0,2522322.0
2013-06-15,Not Holiday,Not Holiday,False,505950.6668701,0.0,3383853.0
2013-06-16,Not Holiday,Not Holiday,False,435894.082881,0.0,2898687.0
2013-06-17,Not Holiday,Not Holiday,False,370944.271024,0.0,2515788.0
2013-06-18,Not Holiday,Not Holiday,False,320885.3399215,0.0,2414907.0
2013-06-19,Not Holiday,Not Holiday,False,319235.25797700003,0.0,2264229.0
2013-06-20,Not Holiday,Not Holiday,False,293877.944015,0.0,2309472.0
2013-06-21,Not Holiday,Not Holiday,False,319722.6870265,0.0,2432661.0
2013-06-22,Not Holiday,Not Holiday,False,446347.312096,0.0,2926473.0
2013-06-23,Holiday,Local,False,504964.845142,0.0,2843016.0
2013-06-24,Not Holiday,Not Holiday,False,336631.9640383,0.0,2422299.0
2013-06-25,Holiday,Local,False,610239.060128,0.0,4656234.0
2013-06-25,Holiday,Regional,False,305119.530064,0.0,2328117.0
2013-06-26,Not Holiday,Not Holiday,False,301847.2489636,0.0,2343297.0
2013-06-27,Not Holiday,Not Holiday,False,266525.458966,0.0,2222220.0
2013-06-28,Not Holiday,Not Holiday,False,324210.971803,0.0,2447676.0
2013-06-29,Not Holiday,Not Holiday,False,509379.108146,0.0,3086523.0
2013-06-30,Not Holiday,Not Holiday,False,533481.693027,0.0,2887533.0
2013-07-01,Not Holiday,Not Holiday,False,441758.3880965,0.0,2701050.0
2013-07-02,Not Holiday,Not Holiday,False,390958.38408,0.0,2613171.0
2013-07-03,Holiday,Local,False,749103.835898,0.0,5176842.0
2013-07-04,Not Holiday,Not Holiday,False,327020.179028,0.0,2496912.0
2013-07-05,Not Holiday,Not Holiday,False,351401.500074,0.0,2564430.0
2013-07-06,Not Holiday,Not Holiday,False,479514.493924,0.0,3040356.0
2013-07-07,Not Holiday,Not Holiday,False,500606.073078,0.0,2878227.0
2013-07-08,Not Holiday,Not Holiday,False,365452.995017,0.0,2556312.0
2013-07-09,Not Holiday,Not Holiday,False,317279.1449993,0.0,2410353.0
2013-07-10,Not Holiday,Not Holiday,False,314134.886071,0.0,2419527.0
2013-07-11,Not Holiday,Not Holiday,False,281750.931023,0.0,2265846.0
2013-07-12,Not Holiday,Not Holiday,False,308786.438133,0.0,2417613.0
2013-07-13,Not Holiday,Not Holiday,False,432569.1022205,0.0,2906079.0
2013-07-14,Not Holiday,Not Holiday,False,438722.417857,0.0,2693526.0
2013-07-15,Not Holiday,Not Holiday,False,348803.0469486,0.0,2531661.0
2013-07-16,Not Holiday,Not Holiday,False,335516.229006,0.0,2499915.0
2013-07-17,Not Holiday,Not Holiday,False,324313.8180255,0.0,2437347.0
2013-07-18,Not Holiday,Not Holiday,False,287074.8739522,0.0,2290167.0
2013-07-19,Not Holiday,Not Holiday,False,313332.555049,0.0,2416623.0
2013-07-20,Not Holiday,Not Holiday,False,435497.731013,0.0,2892549.0
2013-07-21,Not Holiday,Not Holiday,False,437952.624049,0.0,2666367.0
2013-07-22,Not Holiday,Not Holiday,False,342802.29905,0.0,2500443.0
2013-07-23,Holiday,Local,False,316257.463107,0.0,2430450.0
2013-07-24,Additional,Local,False,309243.7899995,0.0,2404908.0
2013-07-25,Holiday,Local,False,298074.2249247,0.0,2335080.0
2013-07-26,Not Holiday,Not Holiday,False,318745.692921,0.0,2450910.0
2013-07-27,Not Holiday,Not Holiday,False,423890.5020012,0.0,2858856.0
2013-07-28,Not Holiday,Not Holiday,False,433358.6520873,0.0,2631057.0
2013-07-29,Not Holiday,Not Holiday,False,331493.2850525,0.0,2406063.0
2013-07-30,Not Holiday,Not Holiday,False,318553.989932,0.0,2392896.0
2013-07-31,Not Holiday,Not Holiday,False,357982.979012,0.0,2567829.0
2013-08-01,Not Holiday,Not Holiday,False,397555.3181021,0.0,2598420.0
2013-08-02,Not Holiday,Not Holiday,False,393831.120007,0.0,2611191.0
2013-08-03,Not Holiday,Not Holiday,False,516956.846013,0.0,3099558.0
2013-08-04,Not Holiday,Not Holiday,False,514267.27594,0.0,2864565.0
2013-08-05,Holiday,Local,False,407033.810946,0.0,2708640.0
2013-08-06,Not Holiday,Not Holiday,False,357263.854086,0.0,2571591.0
2013-08-07,Not Holiday,Not Holiday,False,351302.132003,0.0,2555058.0
2013-08-08,Not Holiday,Not Holiday,False,310953.0239315,0.0,2395536.0
2013-08-09,Not Holiday,Not Holiday,False,337521.667868,0.0,2552913.0
2013-08-10,Holiday,National,False,434184.94409,0.0,2819652.0
2013-08-11,Not Holiday,Not Holiday,False,434720.3230013,0.0,2648844.0
2013-08-12,Not Holiday,Not Holiday,False,349539.224033,0.0,2518461.0
2013-08-13,Not Holiday,Not Holiday,False,317103.331061,0.0,2463780.0
2013-08-14,Not Holiday,Not Holiday,False,324377.386893,0.0,2448963.0
2013-08-15,Holiday,Local,False,311043.17291,0.0,2449260.0
2013-08-16,Not Holiday,Not Holiday,False,364487.3218839,0.0,2629044.0
2013-08-17,Not Holiday,Not Holiday,False,448835.3109167,0.0,2933304.0
2013-08-18,Not Holiday,Not Holiday,False,464053.7730675,0.0,2747151.0
2013-08-19,Not Holiday,Not Holiday,False,362085.52696,0.0,2544300.0
2013-08-20,Not Holiday,Not Holiday,False,343046.11398,0.0,2528757.0
2013-08-21,Not Holiday,Not Holiday,False,335724.643932,0.0,2528229.0
2013-08-22,Not Holiday,Not Holiday,False,306473.26098,0.0,2350260.0
2013-08-23,Not Holiday,Not Holiday,False,331906.369098,0.0,2502852.0
2013-08-24,Holiday,Local,False,420576.154994,0.0,2887566.0
2013-08-25,Not Holiday,Not Holiday,False,443694.093754,0.0,2724414.0
2013-08-26,Not Holiday,Not Holiday,False,347159.6410143,0.0,2513709.0
2013-08-27,Not Holiday,Not Holiday,False,319688.2190185,0.0,2427744.0
2013-08-28,Not Holiday,Not Holiday,False,319322.060993,0.0,2474307.0
2013-08-29,Not Holiday,Not Holiday,False,294518.685943,0.0,2372601.0
2013-08-30,Not Holiday,Not Holiday,False,354932.930947,0.0,2565717.0
2013-08-31,Not Holiday,Not Holiday,False,523631.3811059,0.0,3181200.0
2013-09-01,Not Holiday,Not Holiday,False,640406.221875,0.0,3163743.0
2013-09-02,Not Holiday,Not Holiday,False,458792.960966,0.0,2784804.0
2013-09-03,Not Holiday,Not Holiday,False,397680.420032,0.0,2634522.0
2013-09-04,Not Holiday,Not Holiday,False,392565.48591,0.0,2651880.0
2013-09-05,Not Holiday,Not Holiday,False,330622.779063,0.0,2465232.0
2013-09-06,Not Holiday,Not Holiday,False,335442.247929,0.0,2461107.0
2013-09-07,Not Holiday,Not Holiday,False,518584.247,0.0,3162918.0
2013-09-08,Not Holiday,Not Holiday,False,560852.005091,0.0,3102495.0
2013-09-09,Not Holiday,Not Holiday,False,377151.7070027,0.0,2546577.0
2013-09-10,Not Holiday,Not Holiday,False,308074.4658225,0.0,2391939.0
2013-09-11,Not Holiday,Not Holiday,False,323124.61885,0.0,2451471.0
2013-09-12,Not Holiday,Not Holiday,False,282855.730937,0.0,2259774.0
2013-09-13,Not Holiday,Not Holiday,False,319556.942029,0.0,2409627.0
2013-09-14,Not Holiday,Not Holiday,False,476364.004996,0.0,3047088.0
2013-09-15,Not Holiday,Not Holiday,False,532852.959041,0.0,2983530.0
2013-09-16,Not Holiday,Not Holiday,False,373229.840879,0.0,2547237.0
2013-09-17,Not Holiday,Not Holiday,False,327282.949966,0.0,2405931.0
2013-09-18,Not Holiday,Not Holiday,False,315687.718926,0.0,2392896.0
2013-09-19,Not Holiday,Not Holiday,False,279580.372008,0.0,2217897.0
2013-09-20,Not Holiday,Not Holiday,False,331846.9039701,0.0,2451405.0
2013-09-21,Not Holiday,Not Holiday,False,468298.380896,0.0,3020952.0
2013-09-22,Not Holiday,Not Holiday,False,502068.7019007,0.0,2887929.0
2013-09-23,Not Holiday,Not Holiday,False,356043.0340047,0.0,2482029.0
2013-09-24,Not Holiday,Not Holiday,False,303333.392926,0.0,2321484.0
2013-09-25,Not Holiday,Not Holiday,False,312490.104996,0.0,2363229.0
2013-09-26,Not Holiday,Not Holiday,False,273057.8798588,0.0,2208162.0
2013-09-27,Not Holiday,Not Holiday,False,320246.574024,0.0,2389497.0
2013-09-28,Holiday,Local,False,484903.6890081,0.0,3013032.0
2013-09-29,Not Holiday,Not Holiday,False,522868.441946,0.0,2879844.0
2013-09-30,Not Holiday,Not Holiday,False,367068.4500143,0.0,2457015.0
2013-10-01,Not Holiday,Not Holiday,False,436441.034076,0.0,2662770.0
2013-10-02,Not Holiday,Not Holiday,False,414455.6550375,0.0,2657160.0
2013-10-03,Not Holiday,Not Holiday,False,348933.24703,0.0,2435169.0
2013-10-04,Not Holiday,Not Holiday,False,378109.978059,0.0,2579577.0
2013-10-05,Not Holiday,Not Holiday,False,540156.625057,0.0,3212385.0
2013-10-06,Not Holiday,Not Holiday,False,553031.424016,0.0,3007719.0
2013-10-07,Holiday,Local,False,373387.109043,0.0,2550570.0
2013-10-08,Not Holiday,Not Holiday,False,326726.7240121,0.0,2433024.0
2013-10-09,Holiday,National,True,322529.418957,0.0,2415798.0
2013-10-10,Not Holiday,Not Holiday,False,305047.0980576,0.0,2351217.0
2013-10-11,Transfer,National,False,402913.849028,0.0,2667654.0
2013-10-12,Not Holiday,Not Holiday,False,426379.6909939,0.0,2805099.0
2013-10-13,Not Holiday,Not Holiday,False,481781.2559686,0.0,2750781.0
2013-10-14,Not Holiday,Not Holiday,False,342694.7209944,0.0,2395437.0
2013-10-15,Not Holiday,Not Holiday,False,305242.569986,0.0,2343693.0
2013-10-16,Not Holiday,Not Holiday,False,355696.963943,0.0,2438766.0
2013-10-17,Not Holiday,Not Holiday,False,312949.412961,0.0,2336598.0
2013-10-18,Not Holiday,Not Holiday,False,323327.873107,0.0,2370621.0
2013-10-19,Not Holiday,Not Holiday,False,488245.570001,0.0,3075765.0
2013-10-20,Not Holiday,Not Holiday,False,537713.5090483,0.0,3009930.0
2013-10-21,Not Holiday,Not Holiday,False,348721.327971,0.0,2453121.0
2013-10-22,Not Holiday,Not Holiday,False,301641.7850828,0.0,2296173.0
2013-10-23,Not Holiday,Not Holiday,False,323105.11598,0.0,2353593.0
2013-10-24,Not Holiday,Not Holiday,False,276059.0800025,0.0,2231097.0
2013-10-25,Not Holiday,Not Holiday,False,317570.4260338,0.0,2376330.0
2013-10-26,Not Holiday,Not Holiday,False,452902.363914,0.0,2951883.0
2013-10-27,Not Holiday,Not Holiday,False,512891.4830689,0.0,2866116.0
2013-10-28,Not Holiday,Not Holiday,False,346941.91396,0.0,2421342.0
2013-10-29,Not Holiday,Not Holiday,False,302332.9969864,0.0,2283765.0
2013-10-30,Not Holiday,Not Holiday,False,319494.7050373,0.0,2384118.0
2013-10-31,Not Holiday,Not Holiday,False,298195.433106,0.0,2361249.0
2013-11-01,Not Holiday,Not Holiday,False,403637.232955,0.0,2619705.0
2013-11-02,Holiday,National,False,540615.555037,0.0,3100317.0
2013-11-03,Holiday,National,False,602796.556029,0.0,3005805.0
2013-11-04,Not Holiday,Not Holiday,False,424314.167046,0.0,2627790.0
2013-11-05,Not Holiday,Not Holiday,False,393322.182909,0.0,2519616.0
2013-11-06,Holiday,Regional,False,386426.9788195,0.0,2512884.0
2013-11-07,Holiday,Regional,False,346293.3400477,0.0,2329767.0
2013-11-08,Not Holiday,Not Holiday,False,358473.978049,0.0,2463318.0
2013-11-09,Not Holiday,Not Holiday,False,513850.32307,0.0,3015111.0
2013-11-10,Holiday,Local,False,587666.490239,0.0,3025737.0
2013-11-11,Holiday,Local,False,374087.890067,0.0,2481402.0
2013-11-12,Holiday,Local,False,373277.748034,0.0,2383425.0
2013-11-13,Not Holiday,Not Holiday,False,332279.2568851,0.0,2362800.0
2013-11-14,Not Holiday,Not Holiday,False,284567.4029707,0.0,2219844.0
2013-11-15,Not Holiday,Not Holiday,False,349383.296052,0.0,2468532.0
2013-11-16,Not Holiday,Not Holiday,False,524065.5881155,0.0,3104277.0
2013-11-17,Not Holiday,Not Holiday,False,579209.228924,0.0,2981781.0
2013-11-18,Not Holiday,Not Holiday,False,391945.551999,0.0,2512389.0
2013-11-19,Not Holiday,Not Holiday,False,329455.2710234,0.0,2359368.0
2013-11-20,Not Holiday,Not Holiday,False,354337.734795,0.0,2474934.0
2013-11-21,Not Holiday,Not Holiday,False,298047.047965,0.0,2283534.0
2013-11-22,Not Holiday,Not Holiday,False,340734.213038,0.0,2424378.0
2013-11-23,Not Holiday,Not Holiday,False,485544.298837,0.0,3009171.0
2013-11-24,Not Holiday,Not Holiday,False,550925.293106,0.0,2896443.0
2013-11-25,Not Holiday,Not Holiday,False,365965.5090102,0.0,2440878.0
2013-11-26,Not Holiday,Not Holiday,False,323292.830024,0.0,2332770.0
2013-11-27,Not Holiday,Not Holiday,False,337083.286026,0.0,2361843.0
2013-11-28,Not Holiday,Not Holiday,False,305982.981947,0.0,2306568.0
2013-11-29,Not Holiday,Not Holiday,False,357000.404165,0.0,2468928.0
2013-11-30,Not Holiday,Not Holiday,False,541977.655801,0.0,3112263.0
2013-12-01,Not Holiday,Not Holiday,False,698217.128989,0.0,3198030.0
2013-12-02,Not Holiday,Not Holiday,False,495488.366984,0.0,2731344.0
2013-12-03,Not Holiday,Not Holiday,False,424438.046973,0.0,2634060.0
2013-12-04,Not Holiday,Not Holiday,False,424147.0459855,0.0,2657457.0
2013-12-05,Additional,Local,False,386406.804985,0.0,2556378.0
2013-12-06,Holiday,Local,False,432661.755068,0.0,2665179.0
2013-12-07,Not Holiday,Not Holiday,False,537181.319801,0.0,3140280.0
2013-12-08,Holiday,Local,False,588855.895921,0.0,3040686.0
2013-12-09,Not Holiday,Not Holiday,False,442309.3141075,0.0,2649042.0
2013-12-10,Not Holiday,Not Holiday,False,414421.695986,0.0,2617758.0
2013-12-11,Not Holiday,Not Holiday,False,422957.198908,0.0,2707815.0
2013-12-12,Not Holiday,Not Holiday,False,384256.080979,0.0,2641485.0
2013-12-13,Not Holiday,Not Holiday,False,434657.0129787,0.0,2790414.0
2013-12-14,Not Holiday,Not Holiday,False,554911.917024,0.0,3344220.0
2013-12-15,Not Holiday,Not Holiday,False,642015.7758165,0.0,3373887.0
2013-12-16,Not Holiday,Not Holiday,False,516060.290853,0.0,3055305.0
2013-12-17,Not Holiday,Not Holiday,False,480470.71684249997,0.0,3105399.0
2013-12-18,Not Holiday,Not Holiday,False,527481.336925,0.0,3377748.0
2013-12-19,Not Holiday,Not Holiday,False,507461.038187,0.0,3605811.0
2013-12-20,Not Holiday,Not Holiday,False,544104.2676365,0.0,3505854.0
2013-12-21,Additional,National,False,685673.07474,0.0,4007025.0
2013-12-22,Additional,National,False,696295.146867,0.0,3926901.0
2013-12-22,Holiday,Local,False,696295.146867,0.0,3926901.0
2013-12-23,Additional,National,False,792865.284427,0.0,4813908.0
2013-12-24,Additional,National,False,620663.290732,0.0,5142918.0
2013-12-26,Additional,National,False,470731.1624137,0.0,3168066.0
2013-12-27,Not Holiday,Not Holiday,False,479314.968043,0.0,3244890.0
